tache,kind,idx,text
1,a,1,"Bonjour madame/ monsieur, je m’appelle Haoyan."
1,a,2,J’ai vingt et un ans.
1,a,3,"Je suis de nationalité chinoise. Actuellement, je suis étudiant international et je vis à Toronto avec mes amis."
1,a,4,"Je suis quelqu’un d’introverti, calme, et réfléchi. Mes amis me trouvent poli et généreux."
1,a,5,"Ma langue maternelle est le mandarin. Je parle couramment l’anglais et un peu de japonais. J’aime apprendre de nouvelles langues, parce que cela me permet de mieux comprendre d’autres cultures et de voir le monde sous un autre angle."
1,a,6,"J’étudie le génie robotique à l’université de Toronto et je suis actuellement en quatrième année. C’est un domaine difficile, mais je vois les grands changements que les robots apporteront à nos vies dans le futur. Je pense aussi qu’il y aura une forte demande sur le marché du travail et beaucoup de valeur à créer. C’est donc, à mon avis, un diplôme très prometteur."
1,a,7,"Pendant mes études, j’ai eu l’occasion de faire plusieurs stages et travaux pratiques. L’an dernier, j’ai fait un stage au ministère des Transports de l’Ontario, où j’ai participé à l’inspection des autoroutes et j’ai suivi des travaux d’entretien. En parallèle, je travaille à l’Hôpital Général de Toronto, ce qui m’aide à développer mes compétences en communication et en organisation."
1,a,8,"J’ai beaucoup de centres d’intérêt. J’aime le sport, surtout le badminton et la randonnée. J’aime aussi lire et j’écoute souvent les informations pour améliorer mon français. Ces activités m’aident à rester motivé et à garder un bon équilibre."
1,a,9,"Mes parents sont commerçants en Chine et je suis enfant unique. Ça fait un an que je n’ai pas vu mes parents, mais on fait un appel vidéo chaque mois."
1,a,10,"Dans le futur, je souhaite continuer mes études et développer ma carrière au Canada. Je veux améliorer mon français et mon anglais pour m’intégrer facilement dans la société canadienne et réussir mes projets professionnels. Je suis motivé, curieux et prêt à relever de nouveaux défis."
1,a,11,"J’ai voyagé à Montréal l’année dernière, et cela m’a laissé un souvenir inoubliable. La ville a une ambiance différente grâce à sa culture francophone. J’ai beaucoup aimé la nourriture, le système de transport et l’architecture. Après l’obtention de mon diplôme, je prévois de m’y installer."
1,a,12,"J’habite à Toronto, une ville moderne connue pour ses gratte-ciels, sa diversité culturelle et sa vitalité économique."
1,a,13,"Je loue une maison de quatre chambres avec des amis de l’université, située dans le quartier de Chinatown, juste en face de mon université. Le loyer est relativement abordable, ce qui est un avantage important pour moi. En revanche, le quartier est parfois bruyant et très fréquenté."
1,a,14,"De temps en temps, il y a des événements culturels chinois dans mon quartier, surtout pendant les fêtes comme le Nouvel An chinois. Ces activités permettent aux habitants de se retrouver et de découvrir la culture. Cependant, comme je suis souvent occupé par mes études et mon travail, je participe rarement aux événements du quartier."
1,a,15,"Comme je vis au centre-ville, il y a des tramways sur presque toutes les grandes rues. De plus, mon université est située près de plusieurs stations de métro, ce qui rend les déplacements très pratiques. En général, je peux facilement me déplacer dans le centre-ville sans avoir besoin de voiture."
1,a,16,"L’été est ma saison préférée à Toronto, car le climat est agréable et confortable. Pendant les journées les plus chaudes, je reste généralement au travail ou à la maison, et je préfère sortir marcher ou faire de la randonnée le matin ou en soirée, quand la température est plus douce. Il y a souvent un peu de vent, ce qui rend l’ambiance encore plus agréable."
1,a,17,"L’hiver est la saison que j’aime le moins à Toronto, car il est rude et glacial, ce qui rend la vie quotidienne plus difficile. Je dois porter un bonnet, des gants et un manteau d’hiver pour rester au chaud, surtout lorsque les températures sont très basses. Malgré cela, les déplacements restent souvent compliqués à cause du vent et de la neige présents chaque année."
1,a,18,"J’ai beaucoup d’amis de l’université avec qui je reste en contact tout au long de l’année. Nous échangeons régulièrement des nouvelles et nous discutons aussi de nos difficultés, comme la recherche d’emploi, les candidatures aux études supérieures ou des questions liées à la vie quotidienne. C’est pour moi une excellente façon de rester informé et de suivre l’actualité en technologie, en politique et en économie."
1,a,19,"Comme je suis étudiant international au Canada, je ne possède pas de gros meubles ni d’objets de grande valeur. Je garde seulement l’essentiel, c’est-à-dire des affaires utiles et peu coûteuses, afin de pouvoir déménager facilement pour mes études ou pour le travail. Pour moi, les objets les plus importants sont mes outils de communication et de travail, notamment mon téléphone et mon iPad."
1,a,20,"Le pays que j’aimerais le plus visiter est l’Islande. Je privilégie un mode de vie calme et un bon équilibre entre la vie professionnelle et la vie personnelle, et l’Islande correspond bien à ces valeurs grâce à sa nature préservée. De plus, le climat hivernal y est généralement plus doux qu’à Toronto et le pays dispose d’un système de protection sociale fiable."
1,a,21,"Je pense que l’inclusivité, la protection de l’environnement et la qualité de vie sont les principales raisons pour lesquelles je souhaite vivre au Canada. Le pays offre une nature exceptionnelle, et comme j’aime beaucoup la nature, j’apprécie passer du temps près de l’océan, en montagne et observer les animaux. Enfin, le Canada est un pays multiculturel où différentes cultures et valeurs sont généralement respectées et bien accueillies."
