tache,kind,idx,text
2,a,1,De réserver un livre.
2,a,2,Il fait plus beau qu'hier.
2,a,3,La promotion d'un moyen d'échanges entre les différentes nationalités.
2,a,4,Elles se rebellent très vite face à l'autorité familiale au quotidien.
2,a,5,Découvrir une région de France.
2,a,6,Pour se réchauffer.
2,a,7,Elle a arrêté d'exercer sa profession.
2,a,8,La musique.
2,a,9,Elle a travaillé avec une institutrice américaine.
2,a,10,D'un appel à projets imaginaires.
2,a,11,La circulation routière est coupée.
2,a,12,Tourner un film.
2,a,13,Lui présenter son travail.
2,a,14,Ils déplorent un manque d'information.
2,a,15,Le stationnement est devenu payant.
2,a,16,La variété de la programmation.
2,a,17,La recherche d'un appartement est rapide.
2,a,18,Parce qu'elles avaient lieu tôt dans l'année scolaire.
2,a,19,L'état actuel de la biodiversité.
2,a,20,D'expérimenter une manière différente de voyager.
2,a,21,Un de ses enfants a du mal à respecter les règles du jeu.
2,a,22,De se montrer prudent.
2,a,23,La mutation de l'habitat des abeilles.
2,a,24,La mobilité.
2,a,25,Il offre des services de qualité supérieure.
2,a,26,Elle a d'abord une vocation caritative.
2,a,27,Il faut prouver la nécessité de la démarche.
2,a,28,Il pense qu'il aurait dû être prévenu.
2,a,29,Les critères de sélection sont particulièrement stricts.
2,a,30,De maigrir plus rapidement.
2,a,31,Il s'adresse aux acheteurs à Noël.
2,a,32,Les écologistes refusent la construction d'une autoroute.
2,a,33,L'absence de vérification des sources.
2,a,34,Parce qu'elle souffre et qu'elle est fatiguée.
2,a,35,D'une sélection de films.
2,a,36,Il veut éviter toute publicité personnelle.
2,a,37,Il avait du mal à accepter ses choix.
2,a,38,La création d'un livre pour enfant de qualité est un travail d'équipe.
2,a,39,Des comportements alimentaires.
2,a,40,Aller se promener.
2,a,41,Le recrutement se fonde sur l'expérience.
2,a,42,Les travaux nécessaires ne sont pas encore achevés.
2,a,43,Des activités en faveur du développement durable.
2,a,44,Comment recycler son sapin ?
2,a,45,Pour suivre son compagnon.
2,a,46,Ils osent davantage partir à l'étranger qu'auparavant.
2,a,47,Un récit autobiographique ancré dans la vie intellectuelle du siècle dernier.
2,a,48,De son emploi du temps professionnel.
2,a,49,Elle est restée toute seule.
2,a,50,Sa fréquentation des salles dès son plus jeune âge.
2,a,51,Leurs financements sont fragilisés.
2,a,52,Il fait plus beau qu'hier.
2,a,53,Lui présenter son travail.
2,a,54,Des formules adaptées à chaque client.
2,a,55,L'ouverture de formations artistiques.
2,a,56,Privilégier une agriculture sans produit chimique.
2,a,57,Le confort que leur procure leur structure familiale.
2,a,58,Ils voient leur futur de manière positive.
2,a,59,Son parcours d'apprentissage.
2,a,60,D'élargir sa recherche d'emploi à d'autres domaines.
2,a,61,La nécessité de trouver un travail.
2,a,62,Elle conseille une activité physique.
2,a,63,Des activités en faveur du développement durable.
2,a,64,Lui présenter son travail.
2,a,65,Des formules adaptées à chaque client.
2,a,66,Parce qu'elle souhaite changer de destination estivale.
2,a,67,En collaborant à des activités de bénévolat.
2,a,68,Ils sont cultivés par des gens sans emploi.
2,a,69,Son parcours d'apprentissage.
2,a,70,Ils devront demander le remboursement de leur billet par écrit.
2,a,71,Il fait plus beau qu'hier.
2,a,72,Les écologistes refusent la construction d'une autoroute.
2,a,73,Pour être autonome face aux petits travaux de la maison.
2,a,74,Un point de vue sur la situation mondiale aujourd'hui.
2,a,75,De partager sa salle de bain.
2,a,76,Elle a suivi des enseignements variés.
2,a,77,Avoir la liberté d'être son propre patron.
2,a,78,Des comportements alimentaires.
2,a,79,D'élargir sa recherche d'emploi à d'autres domaines.
2,a,80,L'utilisation d'un matériau unique.
2,a,81,Il est possible qu'il soit renvoyé.
2,a,82,Elle travaille dans un restaurant.
2,a,83,Elle est terrorisée par les animaux aquatiques.
2,a,84,Pour plonger dans l'imaginaire.
2,a,85,Elle a été impressionnée par le son des cordes qu'on peut faire vibrer longtemps.
2,a,86,Parce que la consommation dépend avant tout du pouvoir d'achat.
2,a,87,Avoir la liberté d'être son propre patron.
2,a,88,Il diminue les efforts de ceux qui le suivent.
2,a,89,Elles ont la notion du temps chronologique.
2,a,90,Expliquer pourquoi on attend de la musique au lieu des programmes habituels.
2,a,91,Visiter une ville.
2,a,92,Le secrétariat de son département.
2,a,93,Ils jouent aux cartes.
2,a,94,Les contraintes liées aux pratiques sportives.
2,a,95,Elles se rebellent très vite face à l'autorité familiale au quotidien.
2,a,96,Il a travaillé dans un commerce.
2,a,97,Il s'est d'abord fait connaître auprès des étudiants.
2,a,98,En les incitant à travailler de manière collaborative.
2,a,99,Établir un certificat médical.
2,a,100,L'implication active de tous les habitants.
2,a,101,Les conditions de recrutement sont plus difficiles aujourd'hui.
2,a,102,Elle voyage souvent.
2,a,103,D'attribuer à la lecture le statut de loisir.
2,a,104,Les opportunités de carrière.
2,a,105,Pour suivre son compagnon.
2,a,106,Parler des plats que l'on savoure.
2,a,107,Avoir la liberté d'être son propre patron.
2,a,108,Des révisions d'un examen.
2,a,109,Faciliter la consommation de produits sains.
2,a,110,Aller se promener.
2,a,111,Une sortie au théâtre.
2,a,112,D'un projet de voyage.
2,a,113,La météo était très mauvaise.
2,a,114,Leur salaire est insuffisant.
2,a,115,Les premiers mois d'un bébé.
2,a,116,Les gens cherchent davantage à être heureux.
2,a,117,La création de meubles à partir du recyclage.
2,a,118,Il pratique son art depuis l'enfance.
2,a,119,De sensibiliser l'opinion.
2,a,120,Adopter un mode de vie collectif responsable.
2,a,121,Leurs financements sont fragilisés.
2,a,122,Elle va repartir sans sa voiture.
2,a,123,Les contraintes liées aux pratiques sportives.
2,a,124,Il cherche à convaincre.
2,a,125,Le souci du bien-être des personnes hospitalisées.
2,a,126,Parler des plats que l'on savoure.
2,a,127,S'exprimer avec précision.
2,a,128,Ils voient leur futur de manière positive.
2,a,129,Les habitudes alimentaires des élèves sont difficiles à modifier.
2,a,130,L'absence de formation à l'élaboration du budget.
2,a,131,Il fait plus beau qu'hier.
2,a,132,Elle va repartir sans sa voiture.
2,a,133,Ils annonçaient de fausses promotions.
2,a,134,Il n'y a plus de place pour la voiture.
2,a,135,Elle a suivi des enseignements variés.
2,a,136,Amener l'élève à participer à sa propre formation.
2,a,137,Ils partent à la montagne.
2,a,138,De son emploi du temps professionnel.
2,a,139,La répartition des tâches dans le service.
2,a,140,D'expérimenter une manière différente de voyager.
2,a,141,Tourner un film.
2,a,142,Son œuvre est présentée en France.
2,a,143,Parce qu'ils ont été adoptés dans des pays différents.
2,a,144,D'attribuer à la lecture le statut de loisir.
2,a,145,Elle a vite appris son métier.
2,a,146,Les cursus sur l'environnement se sont multipliés.
2,a,147,Elle permet à des jeunes d'habiter chez des personnes âgées.
2,a,148,Il est protégé par des apports lexicaux variés.
2,a,149,La répartition des tâches dans le service.
2,a,150,D'un outil qui facilite l'apprentissage quelle que soit la discipline étudiée.
2,a,151,D’une campagne d’action sociale
2,a,152,La circulation routière est coupée
2,a,153,La promotion d’un moyen d’échanges entre les différentes nationalités
2,a,154,A un poste de responsabilité du village
2,a,155,Pour affirmer notre personnalité
2,a,156,Elle permet à des jeunes d’habiter chez des personnes âgées
2,a,157,La sociabilité à l'ère du numérique
2,a,158,D’éviter des pertes de temps
2,a,159,La répartition des taches dans le service
2,a,160,L’absence de formation sur l’élaboration d’un budget
2,a,161,C’est plus simple
2,a,162,Les conditions météoritiques
2,a,163,La météo était très mauvaise
2,a,164,De procédés de recyclage
2,a,165,Pour affirmer notre personnalité
2,a,166,Ils sont réalisés avec des objets recyclés
2,a,167,Pour obtenir une information
2,a,168,En les incitant à travailler de manière collaborative
2,a,169,Des comportements alimentaires
2,a,170,L’utilisation d’un matériau unique
2,a,171,Élargir les connaissances scientifiques des participants
2,a,172,De l’étonnement
2,a,173,Les contraintes liées aux pratiques sportives
2,a,174,Pour lui fixer un entretien d’embauche
2,a,175,Il offre des services de qualité supérieure
2,a,176,Une paire de lunettes
2,a,177,Avoir vécu dans le pays de la langue qu’ils enseignent
2,a,178,Du système français de taxe d’habitation
2,a,179,Une croisière-promenade sur la Seine
2,a,180,Ils devront demander le remboursement de leur billet par écrit
2,a,181,Le voyage est trop long
2,a,182,Elle voyage souvent.
2,a,183,La météo était très mauvaise
2,a,184,La construction de villes sur l’eau
2,a,185,Une information complète pour le consommateur
2,a,186,A l’époque de sa jeunesse
2,a,187,Il avait du mal à accepter ses choix
2,a,188,Pour éviter les sollicitations abusives
2,a,189,Etablir un certificat médical
2,a,190,"D’un outil qui facilite l’apprentissage, quelle que soit la discipline étudiée"
2,a,191,Elle a décidé de changer d’emballage
2,a,192,De renforcer les relations
2,a,193,La météo était très mauvaise
2,a,194,De procédés de recyclage
2,a,195,Amener l’élève à participer à sa propre formation
2,a,196,Le report de la remise d’un devoir
2,a,197,Renforcer la formation numérique des jeunes
2,a,198,Elle reflète une vision sexiste de la société
2,a,199,Aider les consommateurs à mieux acheter
2,a,200,D’élargir sa recherche d’emploi à d’autres domaines
2,a,201,Elle trouve le vent trop fort
2,a,202,D’un projet de voyage
2,a,203,Leur salaire est insuffisant
2,a,204,Les équipements
2,a,205,Il veut éviter toute publicité personnelle
2,a,206,Diffuser des procédés en accord avec la nature
2,a,207,Des révisions d’un examen
2,a,208,Se rendre à une vente de livres universitaires d’occasion à la faculté
2,a,209,Elle est restée toute seule
2,a,210,Une ascension professionnelle accompagnée de revenus confortables
2,a,211,Il travaille pour plusieurs entreprises
2,a,212,L’implication des professionnels de la gastronomie
2,a,213,Que l’homme se soit mis à faire du sport
2,a,214,La promotion d’un moyen d’échanges entre les différentes nationalités
2,a,215,Ils déplorent un manque d’information
2,a,216,Quelqu’un qui invente de nouveaux termes
2,a,217,Parce qu’il manque du personnel aujourd’hui
2,a,218,Il avait du mal à accepter ses choix
2,a,219,Parce qu’elles ont beaucoup à apprendre d’eux
2,a,220,Elle prépare une opération commerciale
2,a,221,Manger au restaurant
2,a,222,Les conditions météorologiques
2,a,223,Il est ironique
2,a,224,Leur salaire est insuffisant
2,a,225,Le stationnement est devenu payant
2,a,226,Un mois
2,a,227,La recherche d’un appartement est rapide
2,a,228,Il pratique son art depuis l’enfance
2,a,229,Elles ont la notion du temps chronologique
2,a,230,S’extraire du quotidien
2,a,231,De partir à l’étranger
2,a,232,Tourner un film
2,a,233,Il est ironique
2,a,234,Pour lui fixer un entretien d’embauche
2,a,235,Pour se réchauffer
2,a,236,Privilégier une agriculture sans produit chimique
2,a,237,Il faut prouver la nécessité de la démarche
2,a,238,Une croisière promenade sur la Seine
2,a,239,La répartition des tâches dans le service
2,a,240,Expliquer pourquoi on attend de la musique au lieu des programmes habituels
2,a,241,L’affiche.
2,a,242,D’un projet de voyage.
2,a,243,Il cherche à convaincre.
2,a,244,De partager sa salle de bain.
2,a,245,Ils choisissent de partager leur habitation avec des jeunes.
2,a,246,Ils ignorent l’origine de leurs plats.
2,a,247,D’avoir choisi d’y aller seul.
2,a,248,À s’occuper du gâteau d’anniversaire.
2,a,249,Une ascension professionnelle accompagnée de revenus confortables.
2,a,250,Une naissance.
2,a,251,De réviser les méthodes pédagogiques actuelles
2,a,252,Elle voyage souvent
2,a,253,D’attribuer à la lecture le statut de loisir
2,a,254,Comment recycler son sapin
2,a,255,Elle leur permet de se loger en toute sécurité
2,a,256,Amener l’élève à participer à sa propre formation
2,a,257,Elle est respectée pour son professionnalisme
2,a,258,Ils apprennent à communiquer
2,a,259,Faciliter la consommation de produits sains
2,a,260,D’une sensibilisation aux injustices
2,a,261,La circulation routière est coupée
2,a,262,De renforcer les relations
2,a,263,Parce que la famille a des revenus irréguliers
2,a,264,À un poste de responsable du village
2,a,265,Elle a d’abord une vocation caritative
2,a,266,Il dénonce la stérilité des affrontements
2,a,267,Vérifier les caractéristiques des aliments
2,a,268,Elle reflète une vision sexiste de la société
2,a,269,Les habitudes alimentaires des élèves sont difficiles à modifier
2,a,270,Il s’apparente à un effort physique
2,a,271,Elle a décidé de changer d’emballage
2,a,272,D’un projet de voyage
2,a,273,D’attribuer à la lecture le statut de loisir
2,a,274,Elle a vite appris son métier
2,a,275,De procédés de recyclage
2,a,276,Une paire de lunettes
2,a,277,Ils partent à la montagne
2,a,278,Il récupère les cheveux de ses clients pour nettoyer les océans
2,a,279,Adopter un mode de vie collectif responsable
2,a,280,Les partenaires européens trouvent le projet hasardeux
2,a,281,D’une campagne d’action sociale
2,a,282,Elle va repartir sans sa voiture.
2,a,283,Elles assument leurs désirs malgré leur âge
2,a,284,Fonder un foyer.
2,a,285,Les accidents peuvent être très graves
2,a,286,La variété de la programmation
2,a,287,D’avoir choisi d’y aller seul
2,a,288,Pour éviter les sollicitations abusives.
2,a,289,Son parcours d’apprentissage
2,a,290,Une naissance.
2,a,291,Le recrutement se fonde sur l’expérience.
2,a,292,Elle trouve le vent trop fort
2,a,293,Les écologistes refusent la construction d’une autoroute
2,a,294,Les opportunités de carrière.
2,a,295,Pour se réchauffer.
2,a,296,Ils osent davantage partir à l’étranger qu’auparavant.
2,a,297,Ils partent à la montagne
